name,lng,lat
辽宁.本溪站,123.7780624,41.32583763
辽宁.白玉站,125.396664,41.304755
辽宁.城昂站,122.982439,41.185969
东北.长甸厂,122.991934,41.091273
辽宁.草河口站,123.915955,40.878747
东北.程家站,123.839399,41.317404
辽宁.崔家站,122.047596,41.510823
辽宁.岔山站,121.876962,39.256639
辽宁.长山站,121.400555,39.602507
辽宁.曹屯站,121.4882884,39.4966037
辽宁.昌图站,123.9464091,43.00046212
辽宁.东鞍山站,122.962994,41.06097345
辽宁.调兵山站,123.5843479,42.44292989
辽宁.调兵山厂,123.5843479,42.44292989
辽宁.大成站,123.356268,41.834206
辽宁.丹东站,124.3385431,40.12902283
东北.丹东北站,124.3385431,40.12902283
辽宁.丹东厂,124.3385431,40.12902283
辽宁.丹东热厂,124.3385431,40.12902283
辽宁.东风站,122.277136,40.981847
东北.董家站,121.126293,38.869529
辽宁.代家沟站,123.138211,39.965865
辽宁.大连站,121.5934778,38.94870994
辽宁.东梁站,121.179453,42.304224
辽宁.大连湾火厂,121.648523,38.962567
辽宁.大开火厂,121.648523,38.962567
辽宁.大石化站,121.639556,38.9869
辽宁.大石桥站,122.5715511,40.64691545
辽宁.东胜站,122.435959,40.374346
辽宁.灯塔站,123.3125736,41.42009886
辽宁.东辛庄站,120.449898,40.379269
辽宁.东窑站,123.473601,41.860042
辽宁.阜北风电场,123.296707,40.279924
辽宁.凤城站,124.0729603,40.57957031
辽宁.富家站,121.754604,39.065444
辽宁.范家站,120.043214,40.304591
辽宁.法库站,123.2488971,42.41529784
辽宁.繁荣站,122.982015,41.120621
辽宁.抚顺热厂,123.9298198,41.87730383
辽宁.阜西风电场,121.6608221,42.01925011
辽宁.阜新风电场,121.6608221,42.01925011
辽宁.阜新厂,121.6608221,42.01925011
辽宁.复州城站,121.7231517,39.7345961
辽宁.高城山站,121.8373568,39.07482093
辽宁.弓长岭站,123.4262801,41.14596965
辽宁.港城站,122.11873,40.287674
辽宁.港湾站,121.663609,38.93168
辽宁.耿家站,122.4270629,41.35522004
辽宁.郭家站,120.421996,40.730499
辽宁.甘井子火厂,121.5285004,38.95546176
东北.高岭站,120.018429,40.153852
辽宁.工农站,120.759888,41.831367
辽宁.甘泉站,122.869651,40.970825
辽宁.高台山站,122.884242,42.033124
辽宁.钢铁站,122.314709,40.710962
